id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,thong_tin_ap_dung,tinh_trang_hieu_luc
150974,Thông tư số 08/2021/TT-BTC Ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ,08/2021/TT-BTC,25/01/2021,Thông tư,01/04/2021,,,,Tài chính,"Kế toán, kiểm toán",Bộ Tài chính,Thứ trưởng,Tạ Anh Tuấn,Trung ương,,Còn hiệu lực
164719,"Thông tư số 22/2023/TT-NHNN Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài",22/2023/TT-NHNN,29/12/2023,Thông tư,01/07/2024,,bản gốc,,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc Ngân hàng Nhà nước Việt Nam,Đoàn Thái Sơn,Trung ương,,Còn hiệu lực
173695,"Thông tư số 56/2024/TT-NHNN Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài",56/2024/TT-NHNN,24/12/2024,Thông tư,24/12/2024,,bản gốc,,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Hết hiệu lực một phần
186482,"Thông tư số 69/2025/TT-NHNN ửa đổi, bổ sung một số điều của một số Thông tư của Thống đốc Ngân hàng Nhà nước Việt Nam trong lĩnh vực quản lý, giám sát ngân hàng liên quan đến cắt giảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính",69/2025/TT-NHNN,31/12/2025,Thông tư,15/02/2026,,bản gốc,,Ngân hàng,Cục An toàn hệ thống các tổ chức tín dụng,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Còn hiệu lực
112924,"Thông tư số 105/2016/TT-BTC Hướng dẫn hoạt động đầu tư gián tiếp ra nước ngoài của tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán và doanh nghỉệp kinh doanh bảo hỉểm",105/2016/TT-BTC,29/06/2016,Thông tư,15/08/2016,,văn bản gốc,,Tài chính,Chưa phân loại,Bộ Tài chính,Thứ trưởng,Trần Xuân Hà,Trung ương,,Hết hiệu lực một phần
174218,"Thông tư số 62/2024/TT-NHNN Quy định điều kiện, hồ sơ, thủ tục chấp thuận việc tổ chức lại ngân hàng thương mại, tổ chức tín dụng phi ngân hàng",62/2024/TT-NHNN,31/12/2024,Thông tư,17/02/2025,,bản gốc,,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Hết hiệu lực một phần
186888,"Thông tư số 62/2025/TT-NHNN Quy định về hệ thống kiểm soát nội bộ của tổ chức tín dụng là hợp tác xã, tổ chức tài chính vi mô",62/2025/TT-NHNN,31/12/2025,Thông tư,01/01/2027,,bản gốc,,Ngân hàng,Cục An toàn hệ thống các tổ chức tín dụng,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Chưa có hiệu lực
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,"Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài",52/VBHN-NHNN,21/05/2026,Văn bản hợp nhất,,,,,,,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Chưa xác định
185630,"Thông tư số 63/2025/TT-NHNN Sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng nhân dân",63/2025/TT-NHNN,31/12/2025,Thông tư,16/02/2026,,bản gốc,,Lao động - Thương binh và Xã hội,"Lao động, tiền lương, tiền công",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Còn hiệu lực
117310,"Thông tư số 41/2016/TT-NHNN Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài",41/2016/TT-NHNN,30/12/2016,Thông tư,01/01/2020,01/01/2030,bản gốc văn bản,,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Nguyễn Đồng Tiến,Trung ương,,Hết hiệu lực một phần
166269,Luật Hợp tác xã số 17/2023/QH15,17/2023/QH15,20/06/2023,Luật,01/07/2024,,,,,Chưa phân loại,Quốc hội,Chủ tịch Quốc hội,Vương Đình Huệ,Trung ương,,Còn hiệu lực
177271,"Thông tư số 01/2025/TT-NHNN Quy định về cấp Giấy phép lần đầu, cấp đổi Giấy phép của quỹ tín dụng nhân dân",01/2025/TT-NHNN,29/04/2025,Thông tư,15/06/2025,,bản gốc,,Ngân hàng,Cục An toàn hệ thống các tổ chức tín dụng,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Hết hiệu lực một phần
44209,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,06/01/2014,Thông tư,20/02/2014,,Công báo số 891 + 892,03/10/2014,Ngân hàng,Phát hành và kho quỹ,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đào Minh Tú,Trung ương,,Hết hiệu lực một phần
25692,Ngân hàng Nhà nước Việt Nam,46/2010/QH12,16/06/2010,Luật,01/01/2011,,"Công báo số 564+565, năm 2010",25/09/2010,,,Quốc hội,Chủ tịch Quốc hội,Nguyễn Phú Trọng,Toàn quốc,,Hết hiệu lực một phần
